Date / Time,City,State,Shape,Duration,Summary,Posted
7/31/20 15:38,Norwalk,CA,Egg,2 hours 40 minutes,UFOs Norwalk California,8/20/20
7/31/20 12:00,Palm Desert,CA,Sphere,2 hrs,"I’ll never forget how it looked thru the binoculars, what an amazing experience",8/6/20
7/31/20 08:07,St. Louis,MO,,,MADAR Node 70,8/20/20
7/31/20 07:33,Jakarta (Indonesia),,Chevron,0:2:00,Dark Chevron Shaped UFO hvered for 2 minutes and then vanished without a trace...,8/6/20
7/31/20 03:00,Alexandria,VA,Cylinder,Continuous,I don't know if this is a craft or a star I don't know what it is it's stationary it's due South from my location I used a compass it's,8/16/21
7/31/20 01:00,Montego Bay,SK,Cross,5 minutes,Ten red lights close together over Jamaica!,8/6/20
7/31/20 01:00,Willseyville,NY,Fireball,Hours,Star like objects all night,8/6/20
7/30/20 23:45,Holden Beach,NC,Light,30 minutes,"We were staying in a beach house on vacation. I couldn’t sleep so I went outside to look at the stars. The Moon was overhead, the ocean",8/6/20
7/30/20 23:00,Waterford,NY,Light,1 hour,Appearing to be a star. A bright light started moving among the nearby stars. moving at speeds and angles not from this earth. It would,8/20/20
7/30/20 22:15,Kearney (Canada),ON,Light,30 seconds,White Circular light over cottage country,7/31/20
7/30/20 22:15,Ottawa (Canada),ON,Sphere,1-1.5 minutes,"07/30/2020 22:15 Ottawa, Ontario, Canada Sphere 30-45 seconds Bright light seemed to wobble as it flew. UFO Posted 07/30/2020 22:36",7/31/20
7/30/20 21:30,Columbus,OH,Light,20 seconds,"White, yellow, and orange orb of light flying at rapid pace and hovering.",7/31/20
7/30/20 20:00,Prescott Valley,AZ,Diamond,45 minutes,"Large, hovering star like object.",8/6/20
7/30/20 19:45,Prescott Valley,AZ,Fireball,~15 minutes,"It looked like hazy planet or sphere, at first glance I thought the sun was shinning off it, but this did not move.",8/20/20
7/30/20 19:10,Kenmore,WA,Oval,5 minutes,Oval shaped UFO seen in Kenmore Washington.,8/27/20
7/30/20 16:30,Filer,ID,Circle,2 hours,There was a big thunderstorm passing over us. My daughter said what is that.  We looked up and saw a white light circle shaped with jus,7/31/20
7/30/20 15:00,Rochester,NY,Circle,30 minutes,"Black circular object floating very high in the sky, flashing white light before disappearing",8/6/20
7/30/20 12:27,Granby,CO,Triangle,5 minutes,Dancing UFOs.,7/31/20
7/30/20 07:30,Albuquerque,NM,Unknown,60 minutes,Flying object with light and what seemed like a cloaking device.,8/27/20
7/30/20 05:12,Elgin,OK,Cylinder,15 seconds,"UFO near Elgin, Oklahoma",8/20/20
7/30/20 02:30,braintree,MA,Light,3:00,The tall one showed me a vision again.,7/31/20
7/30/20 02:00,Waupaca,WI,Disk,>1 hour,It was saucer shaped with light on top and a spinning light under the craft it moved once in a while then went back to it's originating,7/31/20
7/30/20 01:00,Farmingdale,NJ,Flash,30 seconds,"I saw a flashing bright white light over Farmingdale, NJ (Monmouth County) between midnight on July 29, 2020 and 2:00 AM July 30, 2020",8/6/20
7/30/20 00:00,Mount Vernon,KY,Light,>1 hour,Orange orb floating in southeast sky erratic movements,7/31/20
7/29/20 23:00,Portland,OR,Triangle,5 minutes,"I was walking my dog. It's a bright night, huge yellow moon in the sky, when i saw this thing hovering very smoothly overhead. I looked",7/31/20
7/29/20 23:00,Downingtown,PA,Light,1-2 minutes,Third time seeing a white light moving in the sky then disappear - almost exactly the same each time,7/31/20
7/29/20 22:30,Austin,TX,Circle,1 minutes,"My brother and I saw a circle flashing red, green and blue.",7/31/20
7/29/20 22:11,Maple Shade,NJ,Light,8 seconds,"Moving white light southeast to northeast then disappears. Approx 6-8seconds. About the size of bigger medium size star, but bright lik",8/6/20
7/29/20 21:45,Fall River,MA,Triangle,5-7 seconds,"Was in a dark area sitting in my in vehicle.  Heard a low pitched noise from the sky.  When I looked up, I initially saw nothing, but a",7/31/20
7/29/20 21:30,Commack,NY,Light,10 minutes,White light that alternated in intensity and emitted sparks.  ((NUFORC Note: Iridium satellite??  PD)),11/5/20
7/29/20 21:20,Chelsea,OK,Disk,5 min,Unable to identify,11/5/20
7/29/20 21:15,North Platte,NE,,2-3 seconds,Fast moving ball of light appears twice in the sky over North Platte Nebraska.,8/6/20
7/29/20 20:21,New York City (Manhattan),NY,Other,10 minutes,"Tonight over Hells Kitchen in Manhattan at 820pm we saw two black crafts, that looked like they could be oval shaped, but changed to wh",7/31/20
7/29/20 20:15,North Platte,NE,,3 seconds,((NUFORC Note:  No information  provided by witness.  PD)),7/31/20
7/29/20 13:03,Boise,ID,,,MADAR Node 111,8/20/20
7/29/20 05:15,Lexington,KY,Sphere,30 minutes,"Thought at first it was a planet because of size, then it started moving in vertical and horizontal direction quickly and stopped. Woul",7/31/20
7/29/20 04:19,Venice,FL,Teardrop,5 minutes,Bright White/Orange teardrop turned starburst light moving slowly before changing directions twice and speeding off.,7/31/20
7/29/20 04:00,Plainfield,IL,Circle,5 minutes,"Three events in Plainfield, Illinois from May 30-July 30.",7/31/20
7/29/20 03:15,Center Conway,NH,Rectangle,10 seconds,UFO SIGHTING REPORT: 7/29/20 (around 3:15 am) I was watching the northern night sky when I noticed a bright light in the peripheral vis,8/6/20
7/29/20 02:55,Toronto (East York)(Canada),ON,Sphere,2 seconds,"July 29th 2020 at 2:55 a.m.East York, Toronto Ontario. I was standing on my balcony having a smoke, and I was looking up and saw a",7/31/20
7/29/20 02:45,Charlestown/ Harpers Ferry,WV,Changing,60 minutes,Unknown lights over Jefferson county wv,7/31/20
7/29/20 01:00,Memphis,IN,Triangle,10 min.,My 22 yr old son called me @1am & said&quot;plwase talk to me til i get home to papaws cuz im watching this object n the sky mom & its,12/23/20
7/29/20 00:30,Seaside,OR,Fireball,3 seconds,Object quickly moving across sky then disappears,7/31/20
